leader,client,version,name,www_url,details,avatar_url,active_stake,active_stake_pct,commission,data_center_key,blocks,skipped,skip_rate,avg_compute_units,compute_units_p10,compute_units_p50,compute_units_p90,avg_txn,avg_vote,p50_included_votes,p90_included_votes,p99_included_votes,p999_included_votes,avg_user,avg_fee,fee_p10,fee_p50,fee_p90,avg_tips,tips_p10,tips_p50,tips_p90,rewards_p10,rewards_p50,rewards_p90,avg_reward,votes,missed_votes,avg_vote_latency,vote_latency_p90,vote_latency_p95,vote_latency_p99,lat1_vote_rate,low_latency_votes,lat2_vote_rate
svsD6T44XJnuXQWB15sy1pBxxruzrFy8rR7gXy8Jsj3,Frankendancer Jito,0.913.40003,Solana Vibe Station,https://www.solanavibestation.com,"Lightning fast Solana infrastructure. Built for developers, powered by experts.",https://cloud.solanavibestation.com/templates/2019/dist/images/svs_logo.png,43764477439971,0.00010251605191673646,0,12025-US-Glendale,512,0,0.0,31649496.45703125,19211221,27153193,59115603,1245.787109375,712.630859375,716,729,782,843,533.15625,15505020.85546875,5298873,10713390,25015475,1672974.392578125,190043,572063,3616454,5879632,12007055,29829406,17177995.248046875,6065152,346,1.0020713413282964,1,1,1,0.9982941219335988,6063617,0.99968988531527
hnhCMmnrmod4rcyc3QRKkLEC9XnPTvYJ2gBvjgFiV4o,Agave JitoBAM,4.0.3,Hodl & Hodl LLLP,https://hodl-lllp.com/,"Hodl & Hodl LLLP, investing in Solana",https://i.ibb.co/nfDHWjB/hnh.png,43480261884552,0.00010185029150237204,5,396356-JP-Tokyo,712,0,0.0,32507824.639044944,20811268,29769807,49873752,1244.7991573033707,705.0533707865169,705,741,808,1340,539.745786516854,21654498.514044944,6034507,11559347,32120508,5880758.287921349,340784,1674465,11039661,7210182,13839052,41992658,27535256.80196629,6065098,400,1.0291533624023883,1,1,2,0.9715967262704562,6061132,0.999280191008224
CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,Agave JitoBAM,4.0.2,Shiro,https://app.jpool.one/validators/7JZTyHRTmzHfmHH89uT9xKSKDVJ1VnNQ1FeTeM4iH3J2,,https://storage.googleapis.com/shiro-solana/shiro.png,42261179631105,0.00009899465362216276,5,20473-US-Elk Grove Village,1100,1,0.0009090909090909092,32115812.56323931,19835922,29297280,51289952,1241.0363967242947,710.7534121929026,709,724,754,840,530.2829845313922,25922771.478616923,5926858,11467241,26403449,4025745.3011828936,385773,1749786,9693876,7053290,14317670,35927203,29948516.77979982,6065025,473,1.0061857947823794,1,1,1,0.9942980774208482,6062847,0.9995629377835092
3DaifGfDESUzer5ggUeo6UDjqEKMkCpdNSrrvyuggHVe,Agave JitoBAM,4.0.3,Speedlanding Validator,https://speedlanding.trade/,"0% commission forever • 100% rewards to delegators

High-performance validator + equity for large supporters

Supporting Solana decentralization & ecosystem growth

Join to maximize yield and help secure the network!
TG: @speedlanding",https://speedlanding.trade/logos/333.png,42177197036573,0.00009879792868621548,0,206264-JP-Asia/Tokyo,768,0,0.0,31731608.3203125,19955295,28545368,51187474,1233.609375,706.2252604166666,707,731,770,898,527.3841145833334,17541630.234375,5950612,11582489,27426087,8249305.71484375,344209,1781568,8211160,7053290,13978136,33699895,25790935.94921875,6064978,520,1.0203487959890374,1,1,2,0.9803518194219172,6061310,0.9993095373207608
chopskqnudaeCTENWzUjfFCBSLcxprqbdMoCAucAwfb,Agave JitoBAM,4.0.3,Choplet Studios,https://choplet.dev,Dedicated to empower the Solana ecosystem with innovative tools that make blockchain technology accessible and efficient for everyone.,https://i.ibb.co/Rpv3JXzX/logobg.png,42103892239722,0.0000986262159456708,4,51202-DE-Europe/Berlin,588,0,0.0,30048384.591836736,18793189,27646376,47441380,1206.1496598639455,710.6003401360545,710,720,741,751,495.54931972789115,16273504.31122449,5384337,10713390,28374608,4910516.799319728,296263,1426885,8948575,6550191,12903446,34935194,21184021.110544216,6064164,1326,1.007825151166756,1,1,1,0.995742635796943,6061882,0.999405159352336
3YX7PQuESmR2h95FDgjahEQjyCBhmY1Ts2MsrM1Kg9DS,Agave Jito,4.0.2,Banana Business (BB),,,,41764253307651,0.0000978306291037876,2,396356-DE-Frankfurt am Main,400,3,0.0075,36651798.44836272,19955295,32508276,58997490,1303.6221662468513,712.6423173803527,709,722,828,1054,590.9798488664987,18029358.098236777,5101293,11195303,28431414,1777449.5415617127,227978,824889,3674783,5998408,12249613,32120508,19806807.63979849,6064974,504,1.0074791746840135,1,1,1,0.9964964014377762,6061364,0.9993217352366952
ark1hdnnfmusE24wGHkyVG1gdRCqfmXs9drasDAdABZ,Agave Jito,4.0.3,,,,,41762961404432,0.00009782760288651692,100,16276-FR-Roubaix,636,0,0.0,33659324.841194965,20686774,29473592,58527393,1264.6147798742138,711.569182389937,710,722,759,932,553.0455974842768,23964413.9827044,6058693,11887583,27757183,3832764.088050314,232583,858553,5938723,6776727,13811401,32313810,27797178.07075472,5976920,88578,1.0080869411000983,1,1,1,0.9822593297368164,5972960,0.9847435445531432
LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6,Agave Jito,4.0.3,LI.FI,https://li.fi/,All Onchain Liquidity in one API,https://i.ibb.co/Zz35wm7F/LIFI.png,41758698440373,0.00009781761711105804,5,402479-HK-Tsuen Wan,544,0,0.0,34687999.737132356,20852932,30737847,58644565,1256.0128676470588,708.1856617647059,708,741,805,842,547.8272058823529,23031134.834558822,5962526,11375869,28092276,1993075.7169117648,220357,800510,4329682,6616021,12522091,33164987,25024210.55147059,6065160,338,1.0133943704700288,1,1,2,0.987027610923291,6062893,0.99957052166203
HgozywotiKv4F5g3jCgideF3gh9sdD3vz4QtgXKjWCtB,Agave JitoBAM,4.1.0,coyote.staking,https://coyotestaking.top,"Your SOL works harder for you! Coyote.staking is a high-performance Solana validator, built on robust infrastructure with 24/7 monitoring. With low commission and support for MEV rewards via Jito, we maximizing rewards for delegators.",https://coyotestaking.top/images/9.jpg,41609148917861,0.0000974673049969698,5,20473-US-Santa Clara,488,0,0.0,39858570.375,22499534,38841714,59352539,1304.922131147541,706.5819672131148,706,728,755,826,598.3401639344262,24590388.807377048,6886026,15728816,48984055,4677694.461065574,347668,1854275,9597420,8016438,18310863,54135755,29268083.268442623,6065471,27,1.0095618295759718,1,1,1,0.9919292694515768,6060124,0.9991140051484644
CpdzCVzaR9gjFymmEVE8xHboJFHaDnimRZ448cMBs6Rn,Agave JitoBAM,4.0.3,Anti 🔥 +JitoMEV,,Our validator ensures 99.9% uptime and high security.,https://i.postimg.cc/Y99QkkGm/ant.png,39159039496735,0.00009172804888538112,0,206264-JP-Tokyo,568,0,0.0,32076817.6778169,19796290,28947813,51392634,1227.4718309859154,707.4119718309859,706,731,815,1110,520.0598591549295,16565299.607394366,5751692,11792861,26775697,6130412.197183099,335375,1599184,10089490,6589610,14432671,33699895,22695711.804577462,6065484,14,1.0328756946683892,1,1,2,0.968263611660576,6060970,0.9992534825664768
